customer_unique_id,recency,frequency,monetary,RFM_score,ClusterID
0077ba3f829303a1dce98552495c91a1,4,1,3,413,2
008778a1591d49f6b2464dffaa4fa662,1,1,4,114,1
008d17333e414049279c7822dfd5f019,1,1,3,113,1
008fb2ecc75561d202dd4db2e0ceec25,1,1,1,111,0
0093aeb87eca387dd153f965aa10c060,2,1,3,213,1
0093dbe7f479386a92095026decf825d,2,1,1,211,0
0097fca0db567f5ca79509b7b4fc1c2d,3,1,4,314,2
00a1e8f160b36ccdcbca310933f12a3b,2,1,1,211,0
00a7d14cb10e11b7f7d65120a7e3942f,1,1,2,112,0
00ab80210f1875276065f3c1911a2110,3,1,1,311,3
00adeda9b742746c0c66e10d00ea1b74,2,1,4,214,1
00ae50eb5e1d2514f694dee1dcbbd5ae,3,1,4,314,2
00b1066a65657ee1759544f6b61a4e2c,3,1,2,312,3
00b1d2492b4127598629f19a22a32be8,2,1,3,213,1
00b72937dcd829c0d8ca72ec77cd073c,1,1,3,113,1
00b8076004092a29c2c934570c356fc7,3,1,4,314,2
00bc6cf36e50f21a8478d86721c07aa5,3,1,2,312,3
00bd194837f2ad36d45985a6205df78a,3,1,4,314,2
00c3c74b09b2022ac2c0f43bb09797b4,2,1,2,212,0
00cac13832bd0a8b6f50f6a36b053223,4,1,4,414,2
00cc12a6d8b578b8ebd21ea4e2ae8b27,1,1,3,113,1
00cc8551c0621bc65a440e836bb652d7,1,1,2,112,0
00cf2f12497614285e5dbfb77d6dd312,3,1,4,314,2
00da34ebf22b87f6c2f53dc069f237df,3,1,4,314,2
00dba3af1366ca8114a40bc83021f5e9,2,1,3,213,1
00df047af693b421c167e27932bfd6c5,4,1,4,414,2
00e04d8e3aaa5ffab327612642ab4564,2,1,2,212,0
00e8de2edf1a4ac05a65e36b4682cd9e,3,1,3,313,2
00eba9372ced7769c4b9f234923d73cc,2,1,1,211,0
00ec23a308504080697e5204d3dbcb2c,2,1,3,213,1
00ec5df43edcae768361caa707fded3e,2,1,2,212,0
00ecc71175078e2cac5547a5656e9622,1,1,4,114,1
00f7a39823c05d6a0675aa6dd276bfb0,4,1,1,411,3
00f8151e6b5d1b3710527075ef845a88,2,1,4,214,1
00fb8f6787f67bd33c7e86c9691d2b1c,2,1,4,214,1
00fb957ae14ffd35a3211d8aa6d9cf9c,3,1,2,312,3
0101da21926315ddd81d190e0ec40440,2,1,3,213,1
0105c53fe2f742999dcb90ca99f4bfba,2,1,1,211,0
010d3cb666c64c115a144d3e6fcbd1d8,2,1,1,211,0
0113282a7fe79b3d8489193ccc601efb,3,1,3,313,2
011620d7c45f4d1599c68b2f19e4b73e,2,1,1,211,0
011875f0176909c5cf0b14a9138bb691,1,1,4,114,1
011fd4914a2d19b2a0e50c29cea5c6a2,1,1,4,114,1
0121107a0cebf91b6af74f8a4ab3c4d9,2,1,1,211,0
012216caf4f1082ba3fc02e584de9a29,2,1,4,214,1
012452d40dafae4df401bced74cdb490,3,1,4,314,2
0125fb08af5c9dd55731090aafc63ac8,3,1,2,312,3
